日期,代码,名称,形态,当日涨幅,T+1涨幅,T+2涨幅,T+3涨幅,T+4涨幅,T+5涨幅,5日累计涨幅,五日胜率
2026-07-20,605056,咸亨国际,整理/回撤,-4.17%,+1.48%,-2.99%,+2.84%,-3.76%,+4.87%,+2.18%,60%
2026-07-20,002518,科士达,整理/回撤,-4.89%,+5.93%,-2.31%,+2.48%,-4.61%,+2.54%,+3.73%,60%
2026-07-20,002245,蔚蓝锂芯,整理/回撤,-5.89%,+10.03%,-1.92%,+0.71%,-4.23%,+4.48%,+8.75%,60%
2026-07-17,688615,合合信息,整理/回撤,-10.01%,+2.11%,+2.64%,-4.49%,-2.16%,-2.89%,-4.89%,40%
2026-07-17,603039,泛微网络,整理/回撤,-6.69%,-0.45%,+3.36%,-0.20%,-0.17%,-4.37%,-1.96%,20%
2026-07-17,300320,海达股份,整理/回撤,-5.02%,-3.65%,+3.39%,-2.78%,+2.08%,+1.27%,+0.13%,60%
2026-07-17,002901,大博医疗,均线上方,-6.27%,+0.98%,-1.79%,-1.11%,-0.59%,-0.21%,-2.71%,20%
2026-07-16,605305,XD中际联,整理/回撤,-2.32%,-2.77%,+1.90%,+0.37%,+2.17%,+2.28%,+3.93%,80%
2026-07-16,301031,中熔电气,整理/回撤,-14.20%,-4.20%,-4.45%,+7.11%,-1.68%,+6.56%,+2.72%,40%
2026-07-15,002947,恒铭达,整理/回撤,-7.09%,-1.30%,-9.32%,-5.34%,+6.56%,+1.98%,-7.93%,40%
2026-07-14,603706,东方环宇,重回20日线,+3.70%,-1.03%,+1.15%,-1.60%,+3.83%,-7.08%,-4.97%,40%
2026-07-13,300008,天海防务,整理/回撤,-5.76%,-2.04%,+0.52%,-0.34%,-3.11%,+1.61%,-3.40%,40%
2026-07-13,002947,恒铭达,整理/回撤,-6.88%,+3.27%,-7.09%,-1.30%,-9.32%,-5.34%,-18.71%,20%
2026-07-08,300008,天海防务,整理/回撤,-0.67%,+0.34%,+4.87%,-5.76%,-2.04%,+0.52%,-2.36%,60%
2026-07-08,001316,润贝航科,整理/回撤,+1.30%,-2.35%,+1.64%,-8.19%,+1.06%,-7.53%,-14.84%,40%
2026-07-07,601600,中国铝业,整理/回撤,-2.64%,-0.99%,-1.00%,+3.14%,-2.93%,+9.42%,+7.40%,40%
2026-07-07,000682,东方电子,整理/回撤,-3.65%,+1.26%,-2.58%,+2.99%,+0.41%,-1.57%,+0.42%,60%
2026-07-07,000426,兴业银锡,整理/回撤,-4.23%,-2.56%,-2.66%,+2.02%,-7.75%,+5.01%,-6.27%,40%
2026-07-06,688615,合合信息,整理/回撤,-3.65%,-2.85%,+4.57%,+6.23%,+0.69%,-5.24%,+2.97%,60%
2026-07-06,603025,大豪科技,整理/回撤,-3.20%,-2.50%,-0.98%,+3.81%,-1.03%,-4.67%,-5.44%,20%
2026-07-06,002155,湖南黄金,整理/回撤,-6.59%,-4.79%,-0.65%,+5.89%,-2.06%,-6.57%,-8.34%,20%
2026-07-03,603706,东方环宇,整理/回撤,+4.56%,-0.99%,-2.78%,+1.24%,-0.96%,+0.00%,-3.48%,20%
2026-07-02,600558,大西洋,整理/回撤,+1.85%,-0.20%,-2.02%,-2.27%,-1.90%,-0.86%,-7.07%,0%
2026-07-02,300012,华测检测,均线上方,-5.14%,-1.48%,+1.57%,-2.25%,-3.24%,-0.22%,-5.56%,20%
2026-07-02,000682,东方电子,整理/回撤,-4.00%,+0.65%,+0.08%,-3.65%,+1.26%,-2.58%,-4.25%,60%
2026-07-01,603967,中创物流,整理/回撤,+4.35%,+2.31%,+2.17%,+3.28%,-3.52%,+1.16%,+5.37%,80%
2026-06-30,601600,中国铝业,整理/回撤,-3.81%,-0.25%,-0.37%,+2.00%,+1.83%,-2.64%,+0.50%,40%
2026-06-30,002155,湖南黄金,整理/回撤,-1.97%,-0.29%,+3.19%,+5.58%,-6.59%,-4.79%,-3.39%,40%
2026-06-29,688188,柏楚电子,整理/回撤,-0.87%,+6.75%,+0.47%,+0.61%,+0.78%,-5.13%,+3.16%,80%
2026-06-26,603025,大豪科技,整理/回撤,-4.29%,-2.09%,+4.04%,+1.25%,-1.74%,+3.61%,+5.00%,60%
2026-06-26,002155,湖南黄金,整理/回撤,-5.50%,+0.45%,-1.97%,-0.29%,+3.19%,+5.58%,+6.97%,60%
2026-06-26,000426,兴业银锡,整理/回撤,-6.45%,+0.79%,-0.93%,+0.24%,+3.92%,+2.95%,+7.08%,80%
2026-06-25,603889,新澳股份,整理/回撤,-2.58%,-4.76%,-1.48%,-3.95%,-0.59%,+3.54%,-7.23%,20%
2026-06-24,603383,顶点软件,整理/回撤,-4.53%,-0.42%,-6.69%,-1.35%,+1.14%,+6.74%,-1.05%,40%
2026-06-23,603271,永杰新材,均线上方,-2.77%,-1.92%,-0.95%,-5.04%,-0.44%,+4.34%,-4.16%,20%
2026-06-23,300012,华测检测,均线上方,-1.99%,+0.28%,-1.40%,-4.18%,+1.92%,+0.29%,-3.16%,60%
2026-06-22,300622,博士眼镜,整理/回撤,+2.82%,-3.57%,-3.90%,-2.75%,-3.68%,-0.22%,-13.38%,0%
2026-06-18,001286,陕西能源,整理/回撤,-8.71%,+3.05%,-1.02%,-0.56%,-1.13%,-2.47%,-2.19%,20%
2026-06-17,603889,新澳股份,整理/回撤,-1.72%,-0.52%,+0.00%,+3.86%,-1.69%,-2.58%,-1.05%,20%
2026-06-16,605305,XD中际联,整理/回撤,-1.77%,-2.63%,-0.90%,+10.12%,+6.02%,+1.67%,+14.54%,60%
2026-06-12,688633,星球石墨,整理/回撤,+1.25%,+4.50%,+2.63%,-1.89%,+0.85%,+5.83%,+12.31%,80%
2026-06-12,688578,艾力斯,整理/回撤,+3.58%,+2.00%,-1.13%,-0.83%,+2.35%,+0.59%,+2.97%,60%
2026-06-12,688336,三生国健,整理/回撤,+3.46%,-1.11%,-1.82%,+1.91%,+4.37%,+2.69%,+6.04%,60%
2026-06-12,688155,先惠技术,整理/回撤,+5.76%,+1.78%,+3.88%,-0.07%,-0.44%,+1.33%,+6.57%,60%
2026-06-12,688101,三达膜,整理/回撤,-1.21%,+3.86%,+0.68%,-3.91%,-1.34%,+1.47%,+0.58%,60%
2026-06-12,605599,菜百股份,重回20日线,+5.60%,+0.65%,-1.56%,-2.51%,-1.29%,+0.00%,-4.65%,20%
2026-06-12,605499,东鹏饮料,整理/回撤,-0.96%,-2.72%,-2.71%,+0.49%,-3.82%,+0.02%,-8.50%,40%
2026-06-12,605338,巴比食品,整理/回撤,+5.03%,-1.33%,-2.35%,-1.90%,-1.99%,-2.88%,-10.02%,0%
2026-06-12,605305,XD中际联,整理/回撤,+2.62%,+4.38%,-1.77%,-2.63%,-0.90%,+10.12%,+8.95%,40%
2026-06-12,605117,德业股份,整理/回撤,+2.56%,-2.73%,+1.45%,+0.64%,+0.12%,+5.62%,+5.02%,80%
2026-06-12,605098,行动教育,均线上方,-0.35%,-0.26%,-2.91%,+0.02%,+0.87%,+0.52%,-1.79%,60%
2026-06-12,603993,洛阳钼业,重回20日线,+10.07%,+9.52%,-4.27%,+0.70%,-0.65%,+8.07%,+13.35%,60%
2026-06-12,603979,金诚信,重回20日线,+3.93%,+10.10%,-6.62%,+6.34%,-5.02%,+3.34%,+7.30%,60%
2026-06-12,603967,中创物流,整理/回撤,+1.79%,+0.33%,-4.16%,-0.96%,-0.61%,-0.62%,-5.93%,20%
2026-06-12,603706,东方环宇,整理/回撤,-0.59%,+2.47%,-3.86%,-0.65%,-1.01%,-0.61%,-3.71%,20%
2026-06-12,603697,XD有友食,均线上方,+2.57%,+1.61%,-5.37%,+0.00%,-2.23%,+2.00%,-4.11%,40%
2026-06-12,603680,今创集团,整理/回撤,+0.73%,+3.55%,-0.70%,-3.89%,-1.93%,+0.09%,-3.00%,40%
2026-06-12,603558,健盛集团,重回20日线,+3.17%,+1.45%,-2.78%,-2.94%,-2.32%,-0.46%,-6.92%,20%
2026-06-12,603508,思维列控,整理/回撤,+0.37%,+0.60%,-0.78%,-0.74%,-1.53%,+2.40%,-0.09%,40%
2026-06-12,603383,顶点软件,整理/回撤,+3.84%,+2.30%,-1.12%,-1.79%,+0.18%,+5.74%,+5.23%,60%
2026-06-12,603365,水星家纺,整理/回撤,+2.89%,-0.96%,-4.65%,-0.77%,+0.42%,-1.91%,-7.70%,20%
2026-06-12,603345,安井食品,整理/回撤,+1.93%,-1.50%,-2.85%,-1.67%,-1.21%,+1.90%,-5.27%,20%
2026-06-12,603271,永杰新材,整理/回撤,+0.65%,+0.67%,+10.10%,+9.43%,-10.00%,-2.57%,+6.35%,60%
2026-06-12,603025,大豪科技,整理/回撤,+0.22%,+4.91%,+2.89%,-0.13%,+0.07%,-2.68%,+4.99%,60%
2026-06-12,603013,亚普股份,整理/回撤,+1.54%,+4.72%,-2.00%,-1.42%,+1.90%,-3.85%,-0.87%,40%
2026-06-12,601899,紫金矿业,整理/回撤,+6.63%,+7.85%,-3.34%,+0.47%,-2.50%,+2.60%,+4.77%,60%
2026-06-12,600988,赤峰黄金,整理/回撤,+7.47%,+7.44%,-1.99%,+1.63%,-5.88%,+1.63%,+2.37%,60%
2026-06-12,600961,株冶集团,整理/回撤,+10.00%,+4.60%,+2.18%,-1.69%,+7.94%,+9.99%,+24.75%,80%
2026-06-12,600872,中炬高新,整理/回撤,+1.76%,+0.23%,-0.86%,-1.62%,+0.12%,-0.12%,-2.25%,40%
2026-06-12,600595,中孚实业,整理/回撤,+4.55%,-2.61%,-5.51%,-1.73%,-2.88%,+6.11%,-6.81%,20%
2026-06-12,600558,大西洋,整理/回撤,+2.91%,+1.51%,+0.56%,+0.00%,+0.55%,-2.76%,-0.19%,60%
2026-06-12,600499,科达制造,整理/回撤,+5.21%,+1.50%,-0.19%,+0.39%,-4.23%,+2.87%,+0.20%,60%
2026-06-12,600489,中金黄金,整理/回撤,+4.31%,+5.08%,-0.27%,+0.82%,-3.51%,+1.58%,+3.56%,60%
2026-06-12,600415,小商品城,整理/回撤,+2.66%,+0.65%,+3.77%,-3.81%,-2.86%,+0.85%,-1.57%,60%
2026-06-12,600295,鄂尔多斯,重回20日线,+0.78%,+0.69%,+0.38%,-3.04%,-0.63%,+0.87%,-1.77%,60%
2026-06-12,600236,桂冠电力,整理/回撤,+1.15%,+1.04%,-1.84%,+2.40%,-6.22%,+0.11%,-4.66%,60%
2026-06-12,301608,博实结,整理/回撤,+0.60%,+4.55%,+4.43%,+1.02%,+1.21%,-2.05%,+9.35%,80%
2026-06-12,300628,亿联网络,整理/回撤,-1.16%,-0.21%,-1.79%,+1.08%,-1.72%,+1.27%,-1.41%,40%
2026-06-12,300573,兴齐眼药,整理/回撤,+3.11%,+0.94%,-2.22%,-0.35%,-1.01%,+1.70%,-0.99%,40%
2026-06-12,300529,健帆生物,整理/回撤,+1.45%,-1.25%,-2.66%,-1.80%,-0.63%,-0.38%,-6.57%,0%
2026-06-12,300453,三鑫医疗,重回20日线,+1.85%,-0.43%,-0.75%,+5.41%,-3.59%,-1.81%,-1.39%,20%
2026-06-12,300206,理邦仪器,重回20日线,+1.66%,-0.96%,-1.12%,+2.57%,+0.07%,-3.02%,-2.52%,40%
2026-06-12,300012,华测检测,整理/回撤,+0.22%,+3.61%,-2.86%,-0.72%,+3.47%,+1.54%,+4.98%,60%
2026-06-12,002991,甘源食品,整理/回撤,+2.19%,+1.06%,-3.54%,-3.07%,-1.98%,+0.70%,-6.73%,40%
2026-06-12,002967,广电计量,整理/回撤,+1.28%,+3.78%,+0.17%,+1.93%,+5.84%,-2.25%,+9.63%,80%
2026-06-12,002956,西麦食品,重回20日线,+3.34%,-0.36%,-2.24%,-2.15%,-1.48%,+1.21%,-4.96%,20%
2026-06-12,002946,新乳业,整理/回撤,+3.17%,+1.51%,-4.09%,-4.76%,-2.34%,+3.73%,-6.08%,40%
2026-06-12,002901,大博医疗,均线上方,+2.09%,+0.79%,-1.34%,-0.68%,+1.54%,-1.25%,-0.96%,40%
2026-06-12,002648,卫星化学,重回20日线,+4.77%,-3.68%,-4.04%,+0.31%,-3.35%,+5.73%,-5.26%,40%
2026-06-12,002606,大连电瓷,整理/回撤,-1.36%,+5.51%,+2.61%,-1.56%,+0.43%,+3.65%,+10.95%,80%
2026-06-12,002603,以岭药业,整理/回撤,+3.26%,+1.45%,-2.07%,-1.06%,+0.47%,+0.20%,-1.05%,60%
2026-06-12,002602,世纪华通,整理/回撤,-2.77%,-2.92%,-5.02%,-1.28%,-1.07%,+4.02%,-6.33%,20%
2026-06-12,002558,巨人网络,整理/回撤,-0.89%,+3.71%,-0.12%,-0.78%,-0.79%,+7.70%,+9.81%,40%
2026-06-12,002545,东方铁塔,整理/回撤,+1.83%,+5.45%,-5.17%,-6.22%,-0.44%,+4.24%,-2.67%,40%
2026-06-12,002532,天山铝业,整理/回撤,+0.15%,+0.69%,-6.13%,-1.29%,-4.08%,+7.23%,-4.04%,40%
2026-06-12,002517,恺英网络,整理/回撤,+3.88%,+1.70%,-1.67%,-1.02%,-0.55%,+4.83%,+3.19%,40%
2026-06-12,002345,潮宏基,放量突破,+10.03%,+2.36%,+2.30%,-3.82%,-2.03%,+1.35%,+0.00%,60%
2026-06-12,002299,圣农发展,整理/回撤,+1.99%,+0.43%,-2.31%,+0.81%,-0.49%,-0.43%,-2.01%,40%
2026-06-12,002293,罗莱生活,均线上方,+0.81%,+1.41%,-2.19%,-0.41%,+0.71%,-3.24%,-3.73%,40%
2026-06-12,002284,亚太股份,整理/回撤,+2.33%,+3.23%,-0.37%,-0.65%,-2.14%,-2.28%,-2.28%,20%
2026-06-12,002275,桂林三金,整理/回撤,+0.47%,-1.02%,-1.82%,-1.13%,+0.57%,-0.24%,-3.61%,20%
2026-06-12,002255,海陆重工,整理/回撤,+2.91%,+7.73%,-1.01%,-3.06%,-1.47%,+0.43%,+2.29%,40%
2026-06-12,002216,三全食品,整理/回撤,+0.48%,-0.48%,-2.97%,-2.82%,-0.60%,-0.34%,-7.04%,0%
2026-06-12,002155,湖南黄金,整理/回撤,+3.86%,+5.86%,+3.70%,-0.38%,+0.60%,+9.34%,+20.31%,80%
2026-06-12,002128,电投能源,整理/回撤,-2.73%,-2.74%,-7.56%,-2.36%,-0.82%,+7.08%,-6.77%,20%
2026-06-12,002043,兔 宝 宝,整理/回撤,+7.26%,-0.73%,-1.89%,+1.51%,-1.40%,+0.67%,-1.88%,40%
2026-06-12,002039,黔源电力,重回20日线,+1.25%,-0.71%,-1.34%,-1.21%,-3.04%,-0.20%,-6.35%,0%
2026-06-12,001316,润贝航科,重回20日线,+2.96%,+1.20%,-2.66%,-0.57%,+0.87%,-2.56%,-3.73%,40%
2026-06-12,000975,山金国际,整理/回撤,+2.88%,+4.93%,-2.26%,+1.06%,-3.70%,+1.00%,+0.81%,60%
2026-06-12,000933,神火股份,整理/回撤,+2.02%,-3.19%,-5.79%,-1.45%,-3.30%,+5.77%,-8.06%,20%
2026-06-12,000848,承德露露,整理/回撤,+2.73%,-0.89%,-1.41%,-0.65%,+0.26%,-0.78%,-3.42%,20%
2026-06-12,000807,云铝股份,整理/回撤,+3.20%,-4.27%,-5.65%,-1.50%,-3.32%,+7.53%,-7.51%,20%
2026-06-12,000729,燕京啤酒,整理/回撤,+2.31%,-3.12%,-3.67%,-4.56%,-2.05%,+0.30%,-12.50%,20%
2026-06-12,000682,东方电子,整理/回撤,+3.90%,+1.06%,-0.08%,+3.88%,-0.31%,+10.07%,+15.10%,60%
2026-06-12,000612,焦作万方,整理/回撤,+8.03%,+1.40%,-4.83%,-0.54%,+0.55%,+9.97%,+6.12%,60%
2026-06-12,000603,盛达资源,整理/回撤,+4.55%,+5.55%,-10.00%,-4.29%,-0.68%,+4.59%,-5.55%,40%
2026-06-12,000551,创元科技,整理/回撤,-0.67%,+5.60%,-2.11%,-1.17%,+2.77%,-2.06%,+2.83%,40%
